id,name,country,category,url,introduce,lang,main_actor,movietime,publishdate
11,Wild Grass,中国大陆,剧情/爱情,ftp://ygdy8:ygdy8@yg18.dydytt.net:8064/阳光电影www.ygdy8.com.荞麦疯长.HD.1080p.国语中英双字.mp4,亚洲新人奖最佳影片(提名) 徐展雄,普通话,马思纯 Sichun Ma,112分钟,2020-07-27(上海电影节) / 2020-08-25(中国大陆)
12,超级无敌追女仔/L - O - V - E ..... LOVE,中国香港,喜剧/爱情/运动,ftp://ygdy8:ygdy8@yg18.dydytt.net:7066/阳光电影www.ygdy8.com.超级无敌追女仔.BD.1080p.国粤双语中字.mkv,地产富豪之子马超仁（陶大宇）不想依附豪门，到寿司店当学徒。仁遇上情场杀手高级（陈百祥）、狄立（林晓峰）及毛仔（葛民辉），看中了竞选特区小姐的阿菲、Money、苏娜与Fancy，而一班公子哥儿亦对四美起心。四人为夺美人归，使出混身解数，一场追女大战由此展开……,普通话/粤语,陈百祥 Pak-cheung Chan,96分钟,1997-06-27(中国香港)
13,超级无敌追女仔II之狗仔雄心/Chasing Girls 2: Ambition of Paparazzi/Love cruise,中国香港,喜剧/爱情,ftp://ygdy8:ygdy8@yg18.dydytt.net:8066/阳光电影www.ygdy8.com.超级无敌追女仔II之狗仔雄心.BD.1080p.国粤双语中字.mkv,屈周刊专揭人私隐，公司拥有一队训练有素的狗仔队，行动如职业特工队，随时候命四处搜罗天下丑闻。队长辛力啤与队员黑仔程和林谂临，受命跟踪四人女子乐队，到船上采访她们的行为举动，三人与乐队成员竟产生情愫，由追料变成追女仔，更与西周刊的狗仔队展开采访战。,普通话/粤语,杨恭如 Kristy Yang,94分钟,1997-12-20(中国香港)
14,西游之再见悟空(港)/西行纪剧场版/西行纪电影版,中国大陆,动作/动画/奇幻,ftp://ygdy8:ygdy8@yg69.dydytt.net:3036/阳光电影www.ygdy8.com.西行纪之再见悟空.BD.1080p.国粤双语中字.mkv,改编自动漫IP《西行纪》，天界公主素衣在凡间与孙悟空结识，情投意合。但悟空却被其他天神当成凡间妖物暴力对待，镇压在了五指山下。三百年来，如来大神用行动感化悟空，教会悟空如何坚守心中正义。孙悟空保护唐三藏前往彼岸世界取回创世之火以造福世间，历经波折后终于归来，却发现巨大的阴谋浮出水面，师徒几人的命运也就此被改写。,普通话/粤语,樊俊航 Junhang Fan,65分钟,2020-05-04(中国大陆)
15,The Falsifier,中国大陆,喜剧/悬疑/惊悚,ftp://ygdy8:ygdy8@yg18.dydytt.net:8068/阳光电影www.ygdy8.com.爆裂的谎言.HD.1080p.国语中字.mp4,在命运的交织碰撞下，几个人原本平静的生活被掀了个底朝天，一时间人人自危，无路可逃……,普通话,冉易居 Yiju Ran,,2020-09-26(中国大陆)
16,I'm Livin' It/I’m Living It,中国香港,剧情,ftp://ygdy8:ygdy8@yg18.dydytt.net:8071/阳光电影www.ygdy8.com.麦路人.HD.1080p.国粤双语中字.mkv,亚洲未来单元最佳影片(提名) 黄庆勋,粤语/国语,郭富城 Aaron Kwok,114分钟,2019-10-29(东京电影节) / 2020-09-17(中国大陆)
17,Crisis Time,中国大陆,剧情/动作/传记,ftp://ygdy8:ygdy8@yg18.dydytt.net:7071/阳光电影www.ygdy8.com.少年叶问之危机时刻.HD.1080p.国语中字.mp4,1917年，踌躇满志的少年叶问（赵文浩 饰）初到香港求学，平静的校园生活却意外被打破。一桩惊天绑架案件在学校举行英文演讲赛的当天发生，全校同学都被挟持，一分钟一条人命。面对眼前的危机，叶问挺身而出，却意外发现绑匪是自己的师父（牟凤彬 饰），而自己的好兄弟（李浩轩 饰）竟然也成为绑匪的帮凶。面对眼前的一切，他该何去何从……一代宗师的成长第一战由此正式打响！,普通话,赵文浩 Wenhao Zhao,79分钟,2020-10-08(中国大陆)
18,和弗兰克叔叔上路/弗兰克叔叔,美国,剧情,ftp://ygdy8:ygdy8@yg05.dydytt.net:7017/阳光电影www.ygdy8.com.和弗兰克叔叔上路.BD.1080p.中英双字幕.mkv,讲述1973年，少女贝丝离开南方乡村老家，前往纽约大学读书，她亲爱的叔叔弗兰克是位受人尊敬的文学教授，贝丝很快发现弗兰克是同性恋，和长期伴侣沃利住在一起，而这个秘密他隐瞒了多年。在弗兰克父亲/贝丝的祖父突然去世后，弗兰克不得不回家参加葬礼，并最终面对一个埋藏已久、他的整个成年生活都在逃避的创伤。,"英语,阿拉伯语",保罗·贝坦尼 Paul Bettany,95分钟,2020-01-25(圣丹斯电影节) / 2020-11-25(美国)
19,Female Village Doctor,中国大陆,剧情/悬疑/惊悚/犯罪,ftp://ygdy8:ygdy8@yg18.dydytt.net:8051/阳光电影www.ygdy8.com.女村医.HD.1080p.国语中字.mp4,个偏隅小镇，清早突发车祸司机逃跑，留下狼狈不堪现场。与此同时，年轻的实习医生刘文雯在老蔡的引领下初次进入了小镇。当晚突发意外，老蔡被打晕。治安队队长周飞和刘文雯一同调查。事件第二天，周飞与刘文雯在一间林中小屋找到了怀疑对象——孤僻怪异的独居男子赵勉。周飞在追逃的过程中不慎摔伤了自己，赵勉也向深山逃去。事后当却震惊地发现赵勉自杀于房梁上。线索断了。事件的背后是什么阴谋，初来乍到的刘文雯能否解开这一谜团，故事正在继续。,普通话,杨澍,65分钟,2020-08-03(中国大陆)
20,Lord of Shanghai,中国大陆,剧情/动作/爱情,ftp://ygdy8:ygdy8@yg18.dydytt.net:5024/阳光电影www.ygdy8.com.上海王.HD.2160p.国语中英双字.mp4ftp://ygdy8:ygdy8@yg90.dydytt.net:6037/阳光电影www.ygdy8.com.上海王2.HD.2160p.国语中英双字.mkv,功成名就的筱月桂（余男 饰）从没忘记要寻找杀死常力雄（胡军 饰），也就是她女儿父亲的凶手。当她发现自己爱上黄佩玉时，也证实了“洪门内奸的真正身份”…… 她与常爷的前跟班余其扬合谋除去内奸，助余其扬成为洪门第一个银行家，新的“上海王”。时过多年，筱月桂女儿常荔荔（郭采洁 饰）从美国学成归来，迷上电影，在母亲等人的帮助下，成为轰动一时的大明星。一次意外，筱月桂撞破女儿与余其扬（凤小岳 饰）的关系…… 三个人的命运也自此改变。,普通话 / 英语 / 上海话,胡军 Jun Hu,111分钟,2016-06-19(上海电影节) / 2017-02-17(中国大陆)
21,Meet You in the House,中国大陆,剧情/喜剧/爱情,ftp://ygdy8:ygdy8@yg69.dydytt.net:3012/阳光电影www.ygdy8.com.意外英雄.HD.1080p.国语中字.mp4,远程集团董事长江达阳因发现自己癌症晚期决定把遗产留给亏欠多年的女儿，并把这一消息透露给世交刚叔（张绍刚饰），不料竟惹来杀身之祸。父亲的意外离世，对江新（彭高唱饰）的打击很大。为还清与父亲关联的债务，江新变卖了所有财产，仅剩一套她日常居住的别墅。为了维持生计，江新决定将别墅出租。 齐圣（宋木子饰）背景离乡为了替父亲还清医疗费，阴差阳错成为职业讨债人……,普通话,张绍刚 Shaogang Zhang,90分钟,2020-06-16(中国大陆)
22,Crazy Daddy,中国大陆,剧情/喜剧/运动,ftp://ygdy8:ygdy8@yg18.dydytt.net:7053/阳光电影www.ygdy8.com.疯狂老爹.HD.2160p.国语中字.mp4,本片是一部农村励志喜剧，讲述了退役运动员肖力在父亲的“激励”下，带领村中女童足球队赢得比赛挽救学校的故事。该片展现了人们为了美好生活共同奋斗中的亲情，爱情，师生情等动人情谊，表达了努力踏实向上就能获得美好人生的思想内涵。,普通话,杨轶 Yi Yang,,2020-04-05(中国大陆)
23,柔道煞星/柔术,美国,动作/奇幻,ftp://ygdy8:ygdy8@yg05.dydytt.net:7011/阳光电影www.ygdy8.com.柔道煞星.BD.1080p.中英双字幕.mkv,尼古拉斯·凯奇、阿兰·莫西(《泰坦》《搏击之王》系列)将主演动作片《柔道煞星》(Jiu Jitsu)，迪米特里·洛戈塞蒂斯(《搏击之王》系列)自编自导。基于同名漫画，讲述一群古代的柔术高手每隔六年就要在一场争夺地球的战斗中面对可怕的外星入侵者。凯奇的角色和他的柔术团队与莫西 的角色联手获得胜利。,英语,尼古拉斯·凯奇 Nicolas Cage,102分钟,2020-11-20(美国) / 2020-12-04(荷兰)
24,Master Zhang,中国大陆,剧情/奇幻/动作,ftp://ygdy8:ygdy8@yg18.dydytt.net:7036/阳光电影www.ygdy8.com.龙虎山张天师.HD.1080p.国语中字.mkv,张道陵得好友文大人一封求助信，携弟子王长前往巴蜀，却发现好友身死，而自己被卷入了一个惊天阴谋中。张道陵坚持本心，不为外物所惑，最终阻止了当地邪恶组织残害百姓的邪恶祭祀，并教化了当地百姓。,普通话,樊少皇 Siu-Wong Fan,91分钟,2020-06-05(中国大陆)
25,"Long Time No See, Wuhan","日本,中国大陆",纪录片,ftp://ygdy8:ygdy8@yg18.dydytt.net:8037/阳光电影www.ygdy8.com.好久不见，武汉.HD.1080p.国语中字.mp4,我的日本朋友对武汉有很多偏见。我是作为住在中国的外国人，作为纪录片的导演，特别想去拍武汉，想给全世界介绍真实的武汉。于是我在微博上募集了可以接受我们拍摄的武汉人，然后一百多个人报名了，最后我们选择了十个人的故事。希望通过这部作品让更多的人了解现在的武汉。——摘自导演微博,"汉语普通话,日语",,61分钟,2020-06-26(中国大陆)
26,女鬼桥/The Bridge Curse,中国台湾,恐怖/惊悚,ftp://ygdy8:ygdy8@yg90.dydytt.net:6029/阳光电影www.ygdy8.com.女鬼桥.BD.1080p.国语中字.mkv,台北电影奖最佳女配角奖(提名) 詹宛儒,普通话,詹宛儒 Wan-Ru Zhan,88分钟,2020-02-27(中国台湾)
27,The beauty skin,中国大陆,爱情/悬疑/奇幻,ftp://ygdy8:ygdy8@yg18.dydytt.net:7043/阳光电影www.ygdy8.com.美人皮.HD.2160p.国语中字.mp4,史孝廉家二美齐聚，相貌倾国的连城巧遇同样是俏艳佳人的表姐宾娘，引得纨绔公子王化成垂涎，这番“势在必得”又引起怎样的腥风血雨？,普通话,韩栋 Dong Han,97分钟,2020-07-17(中国大陆)
28,Rebuilding/Summer Detective,中国大陆,剧情/喜剧/悬疑,ftp://ygdy8:ygdy8@yg90.dydytt.net:6030/阳光电影www.ygdy8.com.平原上的夏洛克.BD.1080p.国语中字.mkv,评分最高的喜剧片(提名),普通话,徐朝英 Chaoying Xu,98分钟,2019-07-22(FIRST青年影展) / 2019-11-29(中国大陆)
29,Double World,中国大陆,动作/奇幻/冒险,ftp://ygdy8:ygdy8@yg18.dydytt.net:6017/阳光电影www.ygdy8.com.征途.HD.2160p.国语中英双字.mp4,最佳视觉效果(提名) 李帅/魏明/徐建,普通话,刘宪华 Henry Lau,,2020-07-24(中国大陆网络)
30,The Wild Goose Lake,"中国大陆,法国",剧情/犯罪,ftp://ygdy8:ygdy8@yg90.dydytt.net:6031/阳光电影www.ygdy8.com.南方车站的聚会.BD.1080p.国语中字.mkv,主竞赛单元金棕榈奖(提名) 刁亦男,武汉方言,胡歌 Ge Hu,113分钟,2019-05-18(戛纳电影节) / 2019-12-06(中国大陆)
31,恶棍之城,法国,犯罪/剧情,ftp://ygdy8:ygdy8@yg05.dydytt.net:7005/阳光电影www.ygdy8.com.恶棍之城.BD.1080p.中英双字幕.mkv,让·雷诺、兰尼克·加特里、斯坦尼斯拉斯·莫哈、大卫·贝利将主演奥利维埃·马夏尔([里昂黑帮])执导的惊悚片[恶棍之城](Rogue City，暂译)。故事将围绕一个打击帮派的警察(雷诺饰)展开，他将用非正规的方法调查一起发生当地夜总会他长期竞争对手身上的枪击事件。,英语,让·雷诺 Jean Reno,116分钟,2020-10-30(法国)
32,A Brighter Summer Day ,中国台湾 ,剧情/犯罪,ftp://ygdy8:ygdy8@yg39.dydytt.net:3025/阳光电影www.ygdy8.com.牯岭街少年杀人事件.HD.1080p.国语中字.mkv,费比西奖 杨德昌 ,"汉语普通话,闽南语,上海话,粤语 ",张震 Chen Chang ,237分钟(导演剪辑版) ,1991-07-27(中国台湾) 
33,我们永不言弃/Knockout ,中国香港 ,剧情/动作,ftp://ygdy8:ygdy8@yg90.dydytt.net:7067/阳光电影www.ygdy8.com.我们永不言弃.HD.1080p.国语中字.mkv,拳坛上所向披靡的“死神”周始因一次意外被判入狱五年，出狱后妻子离世，只剩女儿周自在等他。年幼的女儿被发现患上白血病，周始为完成女儿心愿，以36岁高龄重返擂台，与拳王展开IBF金腰带争夺战。即使体能消耗殆尽、头破血流、视线模糊、血肉飞溅，亦会继续打下去，直至分出胜负… ,普通话 ,韩庚 Geng Han ,,2020-04-20(中国大陆) 
34,肥龙过江/Enter the Fat Dragon ,"中国大陆,中国香港 ",喜剧/动作,ftp://ygdy8:ygdy8@yg18.dydytt.net:8020/阳光电影www.ygdy8.com.肥龙过江.BD.1080p.国粤双语中字.mkv,香港警察朱福龙（甄子丹 饰）因一次工作失误惨被降级，万般无奈之际又遭未婚妻可儿（周励淇 饰）悔婚，事业爱情的双重打击令他一蹶不振，暴饮暴食六个月后体重猛增到220磅！上司黄警官不忍其继续堕落，委派朱福龙前往日本押送一名犯人，并承诺只要完成任务就可以为他恢复职位。可惜来到日本，倒霉的事件便接连在他身上发生，不仅财物尽失，连犯人也在押送途中逃脱了。幸好得到前香港警察潇洒哥（王晶 饰）的帮助才得以暂时解困，为了完成任务找回犯人，朱福龙与潇洒哥共同行动，不料在查找真相的过程中发现了日本黑帮的惊天阴谋...... ,国语/粤语 ,甄子丹 Donnie Yen ,,2020-01-23(中国香港) / 2020-02-01(中国大陆) 
35,Better Days/少年的你，如此美丽 ,中国大陆 ,剧情/爱情/犯罪,ftp://ygdy8:ygdy8@yg90.dydytt.net:8068/阳光电影www.ygdy8.com.少年的你.BD.1080p.国语中字.mkv,评分最高的爱情片(提名) ,普通话 ,周冬雨 Dongyu Zhou ,135分钟 ,2019-10-25(中国大陆) 
36,The Enchanting Phantom ,中国大陆 ,剧情/爱情/奇幻,ftp://ygdy8:ygdy8@yg18.dydytt.net:7021/阳光电影www.ygdy8.com.倩女幽魂：人间情.HD.1080p.国语中字.mp4,书生宁采臣（陈星旭饰）赴京赶考，夜宿兰若寺，邂逅专门代姥姥（徐少强饰）迷惑男人吸取精气的聂小倩（李凯馨饰），二人经过一番磨难渐生情愫终成眷侣，但姥姥要将聂小倩嫁给黑山老妖，情急之下，宁采臣向燕赤霞（元华饰）求助…… ,汉语普通话 ,李凯馨 Eleanor Lee ,96分钟 ,2020-05-01(中国大陆) 
37,西行纪剧场版/西行纪电影版 ,中国大陆 ,奇幻,ftp://ygdy8:ygdy8@yg18.dydytt.net:8021/阳光电影www.ygdy8.com.西行纪之再见悟空.HD.1080p.国语中字.mp4,改编自动漫IP《西行纪》，天界公主素衣在凡间与孙悟空结识，情投意合。但悟空却被其他天神当成凡间妖物暴力对待，镇压在了五指山下。三百年来，如来大神用行动感化悟空，教会悟空如何坚守心中正义。孙悟空保护唐三藏前往彼岸世界取回创世之火以造福世间，历经波折后终于归来，却发现巨大的阴谋浮出水面，师徒几人的命运也就此被改写。 ,普通话 ,,,2020-05-04(中国大陆) 
38,Fox Hunting ,中国大陆 ,动作,ftp://ygdy8:ygdy8@yg18.dydytt.net:7022/阳光电影www.ygdy8.com.狐踪谍影.HD.1080p.国语中字.mkv,《狐踪谍影》改编自王建幸的热门同名小说，原著曾荣获“金盾文学奖”。讲述的是中国驻海外某国一公司董事长的女儿被绑架，被索要巨额赎金。该公司安保队长、退伍军人肖剑，为弥补自己的失职过错，维护国人尊严，协助该国警官莫泰历经艰险，消灭了恐怖分子，救出了同胞的感人故事。 ,普通话 ,黄圣依 Eva Huang ,105分钟 ,2020-01-10(中国大陆) 
39,Jade Dynasty ,中国 ,爱情/奇幻/古装,ftp://ygdy8:ygdy8@yg18.dydytt.net:4028/阳光电影www.ygdy8.com.诛仙电影版.BD.1080p.国语中字.mkv,草庙村被屠，少年张小凡双亲离世，被青云门大竹峰收留。机缘巧合之下，他习得佛门天音功法，又意外获得魔教法器烧火棍，踏上强者之路的同时，也让他陷入了巨大的危机。至魔法器的现世，与陆雪琪、碧瑶、田灵儿三个女生间命运的交错，都让他原本单纯的人生轨迹充满变数。一个勇者驳斥命运的传奇之旅就此展开…… ,普通话 ,肖战 Sean Xiao ,101分钟 ,2019-09-13(中国) 
40,My Heart Is That Eternal Rose,中国香港,爱情/惊悚,ftp://ygdy8:ygdy8@yg90.dydytt.net:8070/阳光电影www.ygdy8.com.杀手蝴蝶梦.BD.1080p.国粤双语中字.mkv,最佳美术指导(提名) 谭家明/莫均杰,粤语/国语,钟镇涛 Kenny Bee,90分钟,1989-04-20(中国香港)
41,乜代宗师/The Grand Grandmaster,中国香港,剧情/喜剧,ftp://ygdy8:ygdy8@yg18.dydytt.net:7025/阳光电影www.ygdy8.com.乜代宗师.BD.1080p.国粤双语中字.mkv,马飞龙是马家雷拳第十九代传人，却因一次意外中，于街头众目睽睽下被一名女途人击倒，而大出洋相，一夜之间身败名裂，沦为「乜代宗师」。后来马飞龙从记者口中知道女途人大有来头，原来她是香港西洋拳坛传奇人物，曾经拥有四十场不败纪录的奇女子—陈真！,粤语/国语,刘心悠 Annie Liu,117分钟,2020-01-23(中国香港)
42,Assassination,中国大陆,剧情/动作,ftp://ygdy8:ygdy8@yg90.dydytt.net:7071/阳光电影www.ygdy8.com.刺杀风云.HD.2160p.国语中字.mp4,在孤岛时代的上海滩，不同意为日军效力的海风商会会长周琦方及其门生陆南笙等江湖人士，拼死抵抗，与日军少将斋藤展开一场生死大战。,汉语普通话 / 日语,吕良伟 Ray Lui,78分钟,2019-01-19(中国大陆)
43,本人之死/我之死/我的死法,美国,恐怖/惊悚/悬疑,ftp://ygdy8:ygdy8@yg69.dydytt.net:8024/阳光电影www.ygdy8.com.本人之死.BD.1080p.中英双字幕.mkv,故事讲述一对夫妻到泰国的某个海岛上渡假，宿醉醒来完全想不起来前一晚发生的事情。两人回朔相机里的照片，惊然发现前一晚老公将老婆杀害的画面。恐惧又困惑，台风逼近小岛，但下一班船要24小时之后才会抵达小岛，两人试图重建前一晚发生的事情——却被卷入神秘、黑魔法以及谋杀案之中。,英语,李美琪 Maggie Q ....Christine,94分钟,2020-10-02(美国)
44,The Wild Goose Lake ,"中国大陆,法国 ",剧情/犯罪,ftp://ygdy8:ygdy8@yg90.dydytt.net:6009/阳光电影www.ygdy8.com.南方车站的聚会.HD.1080p.国语中字.mkv,主竞赛单元金棕榈奖(提名) 刁亦男 ,武汉方言 ,胡歌 Ge Hu ,113分钟 ,2019-05-18(戛纳电影节) / 2019-12-06(中国大陆) 
45,不义之战/辣警霸王花2/辣警霸王花2不义之战 ,中国香港 ,剧情/动作,ftp://ygdy8:ygdy8@yg18.dydytt.net:5004/阳光电影www.ygdy8.com.不义之战.HD.1080p.国粤双语中字.mkv,近日，电影《辣警霸王花2》在香港开镜，主演谭耀文、梁铮、杨恭如、袁文杰等亮相开机仪式现场，为影片助阵。 ,粤语/普通话 ,谭耀文 Patrick Tam ,96分钟 ,2019-09-26(中国香港) 
46,失踪/Missing ,中国香港 ,剧情/悬疑,ftp://ygdy8:ygdy8@yg18.dydytt.net:6006/阳光电影www.ygdy8.com.失踪.BD.1080p.国粤双语中字.mkv,一日，行山专家何尚言（梁祖尧 饰）在山上找到薛利华的警员证，令芷盈重燃希望。何尚言更给她一个新概念－结界，他就是少数走出结界的人。他懂得结界某些规则，在结界见过失踪多时的太太；作为社工的薛芷盈，在一次拯救自杀少女亦意外走进结界，两件事推动她走上山，找寻传说中的结界。薛芷盈、何尚言、程若蓝决定上山寻找真相。山上三人手机开始无讯号、不停在一个地方绕圈、麦子清突然出现…… 众人好像入了结界？有人情绪开始失控、有人慌乱在找出口、有人好像看到了真相，结界有出口吗？芷盈最终又找到父亲薛利华？ ,粤语/普通话 ,钟欣潼 Gillian Chung ,85分钟 ,2019-11-14(中国香港) 
47,Ne Zha/Nezha: Birth of the Demon Child ,中国 ,剧情/喜剧/动画/奇幻,ftp://ygdy8:ygdy8@yg18.dydytt.net:5005/阳光电影www.ygdy8.com.哪吒之魔童降世.BD.1080p.国语中英双字.mkv,天地灵气孕育出一颗能量巨大的混元珠，元始天尊将混元珠提炼成灵珠和魔丸，灵珠投胎为人，助周伐纣时可堪大用；而魔丸则会诞出魔王，为祸人间。元始天尊启动了天劫咒语，3年后天雷将会降临，摧毁魔丸。太乙受命将灵珠托生于陈塘关李靖家的儿子哪吒身上。然而阴差阳错，灵珠和魔丸竟然被掉包。本应是灵珠英雄的哪吒却成了混世大魔王。调皮捣蛋顽劣不堪的哪吒却徒有一颗做英雄的心。然而面对众人对魔丸的误解和即将来临的天雷的降临，哪吒是否命中注定会立地成魔？他将何去何从？ ,普通话 ,吕艳婷 Yanting Lü ,110分钟 ,2019-07-13(大规模点映)/2019-07-26(中国) 
48,大理寺机密 ,中国大陆 ,古装/悬疑/剧情,ftp://ygdy8:ygdy8@yg18.dydytt.net:7010/阳光电影www.ygdy8.com.狄仁杰之深海龙宫.HD.2160p.国语中字.mp4,影片讲述，唐·垂拱四年，南方连续十个月大旱，武则天（徐冬冬饰）召归墟国献龙珠祈雨，在海上运送龙珠的途中，神秘“鲛人”从海中突然出现，大肆杀人并盗走龙珠。因在断案之中舍弃情爱选择法度而痛失所爱，正在酒楼买醉堕落潦倒的狄仁杰（连凯饰）被紧急召集限期破案，与大理寺少卿莫凌飞（尹子维饰）联手探龙宫，查鲛人杀人悬案解大唐危机。 ,普通话 ,徐冬冬 Dongdong Xu ,,2020-02-21(中国) 
49,Sheep Without a Shepherd/Visual ,中国大陆 ,剧情/悬疑/犯罪,ftp://ygdy8:ygdy8@yg18.dydytt.net:8009/阳光电影www.ygdy8.com.误杀.HD.1080p.国语中英双字.mp4,评分最高的华语电影(提名) ,普通话 ,肖央 Yang Xiao ,112分钟 ,2019-12-07(大规模点映) / 2019-12-13(中国大陆) 
50,绑灵/Blinding Souls ,"中国香港,中国台湾 ",恐怖/惊悚,ftp://ygdy8:ygdy8@yg39.dydytt.net:5008/阳光电影www.ygdy8.com.绑灵.BD.1080p.国粤双语中字.mkv,罗校长(袁祥仁 饰)和方老师(小薰 饰)分别带着他们在校内各处参观并解述历史。众人来到校内博物馆，看到战时日军资料时均感到无比兴奋。他们更在旧存刊物中，看到一本旧生日记，竟记录了过往旧生曾遇到的种种灵异事件，里面更提到一宗学生神秘失踪事件，究竟内里隐藏了什麽秘密？他们会否也遇上相同的灵异事件？ ,粤语/普通话 ,惠英红 Kara Wai Ying Hung ,90分钟 ,2019-09-05(中国香港) 
